Competitions,CAP(Teams),Unnamed: 2,Lab/Room Allocated Day 1 ,Lab/Room Allocated Day 2
Competitive Programming ,70.0,,"Lab 1, 2, 4, 5","Lab 1 , 2, 4 "
Speed Debugging ,35.0,,"E1, 2, 3 ","Lab 10, 12"
Chatcraft,25.0,,Lab 8 ,Lab 8
database design,35.0,,"Lab 10,12","Lab 5, 6"
Code in the dark,35.0,,"Lab 5, 8","Lab 5, 8"
Game developement ,25.0,,Outside Auditorium,Outside Auditorium
AI Showdown,45.0,,"D floor D25,26,27,28",
Hackathon,35.0,,C22 C21,C22 21
Code sprint,70.0,,"Lab 10,11,12,13","Lab 11,12,13"
Web Developement,35.0,,"A4,5,6","A4,5,6"
Block chain,35.0,,"Lab 6,7",Lab 7
UI UX,35.0,,"Lab 11,13","Lab11, 13"
App Developement ,35.0,,"A1,2,3","A1, 2, 3"
Pseudowar,35.0,,"E4,5,6","E4,5,6"
Capture the Flag,45.0,,,
Autocad,,,Lab11,Lab11
Speed Soldering,,,MPI Lab,MPI Lab
Project Exibition,,,,
Robowar,,,,
Robo sumo,,,,
Robo soccer,,,,
Line following robot,,,,
FIFA ,,,,
PUBG ,,,,
TEKKEN ,,,,
Chess,,,D24,D24
photography ,,,D22,D22
reels ,,,D23,D23
scavenger hunt,,,Fourth Floor,Fourth Floor

Speed Programming,105.0,,"Lab 1,2,3,4",
Speed Debugging,50.0,,"Lab 1,2,3,4",
BlockChain,40.0,,"R1(E1,E2) R2(Lab 7)",
Pseudowar,40.0,,"E1,E2",
Data Science,40.0,,"R1(Lab 7) R2(E1,E2)",
Game Development,50.0,,B9,Registration can exceed since rooms are available.
Mobile Development,50.0,,"B10, B11",Registration can exceed since rooms are available.
Web Development,50.0,,"R1(Lab 3,4), R2(Lab 10)",
Code in the dark,25.0,,"R1(Lab 10),R2(Lab 10)",Registration can exceed since Lab is available.
UI/UX,25.0,,Lab 6,
Hackathon,25.0,,"A6, A7",Registration can exceed since rooms are available.
DB Design,30.0,,"C 15,16",Registration can exceed since rooms are available.
Math Olympiad,25.0,,"R1(Lab 6, 10) R2(Lab 11)",
