Rooms,Competitions,Time,Day
E1,Speed Debugging,10:30-12:00,1
E2,Speed Debugging,10:30-12:00,1
E3,Speed Debugging,10:30-12:00,1
E4,Pseudowar,10:30-12:30,1
E5,Pseudowar,10:30-12:30,1
E6,Pseudowar,10:30-12:30,1
A1,App Dev,10:30-01:00,1
A2,App Dev,10:30-01:00,1
A3,App Dev,10:30-01:00,1
A1,App Dev,02:30-05:00,1
A2,App Dev,02:30-05:00,1
A3,App Dev,02:30-05:00,1
A4,Web Dev,10:30-01:00,1
A5,Web Dev,10:30-01:00,1
A6,Web Dev,10:30-01:00,1
A4,Web Dev,02:30-05:00,1
A5,Web Dev,02:30-05:00,1
A6,Web Dev,02:30-05:00,1
A7,FREE,FREE,1
B9,FREE,FREE,1
B10,Scavenger Hunt,All Day,1
B11,FREE,FREE,1
C12,FREE,FREE,1
C13,FREE,FREE,1
C14 C15,FREE,FREE,1
C17,Scavenger Hunt,All Day,1
C16,FREE,FREE,1
C18,Hackathon,All day,1
C19,Hackathon,All day,1
C20 ,Taboo,All day,1
C21 Hackathon,All Day,1
C22,Hackathon,All Day,1
D23,Photography and Reels,All day,1
D24,Photography and Reels,All day,1
D25,AI Showdown,11:00 - 01:00,1
D26,AI Showdown,11:00 - 01:00,1
D27,AI Showdown,11:00 - 01:00,1
D28,AI Showdown,11:00 - 01:00,1
E29,FREE,1
E30,Scavenger Hunt,All Day,1
E31,FREE,FREE,1
E32,FREE,FREE,1
E33,FREE,FREE,1
E34,FREE,FREE,1
E35,FREE,FREE,1
Lab1,Competitive Programming,10:30-02:00,1
Lab2,Competitive Programming,10:30-02:00,1
Lab4,Competitive Programming,10:30-02:00,1
Lab5,Competitive Programming,10:30-02:00,1
Lab5,CITD,03:00-05:00,1
Lab6,AutoCad,All day,1
Lab10,Database Design,10:30-12:30,1
Lab8,Chat Craft,10:30-02:00,1
Lab8,CITD,03:00-05:00,1
Lab 3 (FYP),FREE,FREE,1
Lab 7,Block chain Blitz,10:30 - 12:30,1
Lab 11,Code Spring,02:00-05:00,1
Lab11,UI/UX,10:30-01:00,1
Lab11,Code Spring,02:00-05:00,1
Lab12,Database Design,10:30-12:30,1
Lab13,UI/UX,10:30-01:00,1
EWS Lab -EE,Speed Soldering,All day,1
MPI Lab,Hardware Exhibition,All Day,1
Old BCR ,esports,TBA,1
EE Conference Room,esports,TBA,1
Basketball Court,Robotics Competitions,All day,1
New Building,Game Dev ,10:30 - 01:00,1
Masjid Ground,FREE,FREE,1
EE Ground,Food Stalls +Seating Area,All day,1
